asset,direction,lag,p_value,significant
BTC,sentiment_to_return,1,0.700847,False
BTC,sentiment_to_return,2,0.604046,False
BTC,sentiment_to_return,3,0.412647,False
BTC,sentiment_to_return,4,0.521072,False
BTC,sentiment_to_return,5,0.534204,False
BTC,return_to_sentiment,1,0.025859,True
BTC,return_to_sentiment,2,0.025709,True
BTC,return_to_sentiment,3,0.051399,False
BTC,return_to_sentiment,4,0.049739,True
BTC,return_to_sentiment,5,0.0503,False
SP500,sentiment_to_return,1,0.895692,False
SP500,sentiment_to_return,2,0.88395,False
SP500,sentiment_to_return,3,0.882709,False
SP500,sentiment_to_return,4,0.904044,False
SP500,sentiment_to_return,5,0.952072,False
SP500,return_to_sentiment,1,0.052935,False
SP500,return_to_sentiment,2,0.005169,True
SP500,return_to_sentiment,3,0.000974,True
SP500,return_to_sentiment,4,0.000836,True
SP500,return_to_sentiment,5,0.001578,True
